Latitude: 47.2875102, Longitude: 11.3990852, Information Type: guidepost, Reference: N/A
Latitude: 47.2866405, Longitude: 11.3994306, Information Type: guidepost, Reference: N/A
Latitude: 47.2931127, Longitude: 11.3920377, Information Type: guidepost, Reference: N/A
Latitude: 47.2647597, Longitude: 11.3250227, Information Type: guidepost, Reference: N/A
Latitude: 47.2770026, Longitude: 11.3899288, Information Type: guidepost, Reference: N/A
Latitude: 47.2798759, Longitude: 11.3919103, Information Type: guidepost, Reference: N/A
Latitude: 47.2524588, Longitude: 11.4048593, Information Type: guidepost, Reference: N/A
Latitude: 47.2529854, Longitude: 11.4045791, Information Type: guidepost, Reference: N/A
Latitude: 47.2297656, Longitude: 11.3912183, Information Type: guidepost, Reference: N/A
Latitude: 47.2316248, Longitude: 11.3903731, Information Type: guidepost, Reference: N/A
Latitude: 47.2697015, Longitude: 11.3276818, Information Type: guidepost, Reference: N/A
Latitude: 47.2731982, Longitude: 11.3278578, Information Type: guidepost, Reference: N/A
Latitude: 47.2780153, Longitude: 11.3421889, Information Type: guidepost, Reference: N/A
Latitude: 47.2714796, Longitude: 11.3310302, Information Type: guidepost, Reference: N/A
Latitude: 47.2902645, Longitude: 11.4097456, Information Type: guidepost, Reference: N/A
Latitude: 47.2938285, Longitude: 11.4091366, Information Type: guidepost, Reference: N/A
Latitude: 47.2963683, Longitude: 11.4030787, Information Type: guidepost, Reference: N/A
Latitude: 47.2811888, Longitude: 11.3719084, Information Type: guidepost, Reference: N/A
Latitude: 47.2877995, Longitude: 11.3647154, Information Type: guidepost, Reference: N/A
Latitude: 47.2878445, Longitude: 11.3646316, Information Type: guidepost, Reference: N/A
Latitude: 47.2863580, Longitude: 11.3678710, Information Type: guidepost, Reference: N/A
Latitude: 47.2863908, Longitude: 11.3680534, Information Type: guidepost, Reference: N/A
Latitude: 47.2712527, Longitude: 11.3699242, Information Type: guidepost, Reference: N/A
Latitude: 47.2850794, Longitude: 11.3899825, Information Type: guidepost, Reference: N/A
Latitude: 47.2829401, Longitude: 11.3778046, Information Type: guidepost, Reference: N/A
